#group,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
#datatype,string,string,string,string,string,double,dateTime:RFC3339
#default,_result,,,,,,
,result,nodes,_field,_tag,_measurement,_value,_time
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T09:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T09:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T09:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T10:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T10:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T10:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T10:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T10:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T11:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T11:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T11:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T11:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T11:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T12:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T12:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T12:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T12:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T12:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T13:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T13:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T13:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T13:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T13:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T14:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T14:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T14:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T14:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T14:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T15:59:46Z
,,node05,buda,tempAvg,tempAvg,3,2022-12-02T15:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T15:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T15:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T15:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T16:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T16:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T16:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T16:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T16:59:46Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T17:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T17:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T17:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T17:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T17:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T18:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T18:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T18:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T18:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T18:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T19:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T19:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T19:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T19:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T19:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T20:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T20:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T20:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T20:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T20:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T21:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T21:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T21:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T21:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T21:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T22:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T22:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T22:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T22:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T22:59:47Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T23:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T23:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T23:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T23:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-02T23:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T00:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T00:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T00:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T00:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T00:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T01:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T01:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T01:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T01:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T01:59:45Z
,,node05,buda,tempAvg,tempAvg,2,2022-12-03T02:59:45Z
